type,batch_size,train_loss,train_acc,test_loss,test_acc,sharpness
1,5,0.0244391383,0.9923666667,0.0292318874,0.986,1.44608987981578E-05
1,50,0.0174983913,0.99405,0.0462981986,0.978,6.23407030824503E-06
1,500,0.035464476,0.9894666667,0.0321175052,0.992,7.56799068386205E-05
1,5000,0.1435764412,0.9579,0.1291200043,0.9619999995,0.0003041557
1,5,0.0361190231,0.9898333333,0.1090187313,0.974,1.28621004315463E-05
1,50,0.0088859652,0.9971166667,0.0187140741,0.994,1.08229420585753E-05
1,500,0.0179022798,0.9948166667,0.0286809811,0.99,4.44908532098652E-05
1,5000,0.0813901368,0.9762833333,0.0758011026,0.9799999995,0.0002843185
2,5,0.1009575116,0.9758,0.1183479387,0.966,1.82592735589668E-05
2,50,0.0453197917,0.9868666667,0.0279062596,0.99,1.31731353560713E-05
2,500,0.0559481098,0.98455,0.0474036811,0.988,0.000005302
2,5000,0.2948874368,0.9522166667,0.2807909365,0.968,1.99645521781587E-05
2,5,0.1540445324,0.9699833333,0.1294998574,0.9639999995,3.4337150111109E-05
2,50,0.0400925928,0.9881666667,0.0412553958,0.9799999995,1.31549180437028E-05
2,500,0.0400745422,0.9884,0.0400590348,0.9879999995,4.4264757361434E-06
2,5000,0.1392568588,0.9699833333,0.1260937445,0.976,1.53581100286522E-05
